effective_start,effective_end,announced_at,ticker,source
2000-01-01,2004-04-07,,AA,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2000-01-01,2004-04-07,,AXP,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2000-01-01,2004-04-07,,BA,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2000-01-01,2004-04-07,,C,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2000-01-01,2004-04-07,,CAT,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2000-01-01,2004-04-07,,DD,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2000-01-01,2004-04-07,,DIS,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2000-01-01,2004-04-07,,EK,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2000-01-01,2004-04-07,,GE,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2000-01-01,2004-04-07,,GM,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
2000-01-01,2004-04-07,,HD,"S&P Dow Jones Indices press releases (press.spglobal.com/spdji) and contemporaneous financial press (CNBC, Reuters, Bloomberg, Yahoo Finance, PR Newswire) for each change's effective date; Wikipedia's 'Historical components of the Dow Jones Industrial Average' as a completeness cross-check. Fetchability verified directly against engine.data.get_bars(), not assumed."
